seq,aou,english,french,spanish,order,family,genus,species,sp.bbs,sci_name,GenLength
46,01430,Northern Pintail,Canard pilet,Anas acuta,Anseriformes,Anatidae,Anas,acuta,1430,Anas acuta,4.947677081
47,01390,Green-winged Teal,Sarcelle d'hiver,Anas crecca,Anseriformes,Anatidae,Anas,crecca,1390,Anas crecca,3.878402736
48,01470,Canvasback,Fuligule à dos blanc,Aythya valisineria,Anseriformes,Anatidae,Aythya,valisineria,1470,Aythya valisineria,5.161870032
49,01460,Redhead,Fuligule à tête rouge,Aythya americana,Anseriformes,Anatidae,Aythya,americana,1460,Aythya americana,4.194698424
51,01500,Ring-necked Duck,Fuligule à collier,Aythya collaris,Anseriformes,Anatidae,Aythya,collaris,1500,Aythya collaris,3.76042376
52,01491,Tufted Duck,Fuligule morillon,Aythya fuligula,Anseriformes,Anatidae,Aythya,fuligula,1491,Aythya fuligula,4.012210421
53,01480,Greater Scaup,Fuligule milouinan,Aythya marila,Anseriformes,Anatidae,Aythya,marila,1480,Aythya marila,4.148126497
54,01490,Lesser Scaup,Petit Fuligule,Aythya affinis,Anseriformes,Anatidae,Aythya,affinis,1490,Aythya affinis,5.023958311
55,01489,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Aythya marila / affinis,Anseriformes,Anatidae,Aythya,marila / affinis,1489,Aythya marila / affinis,NA
56,01570,Steller's Eider,Eider de Steller,Polysticta stelleri,Anseriformes,Anatidae,Polysticta,stelleri,1570,Polysticta stelleri,7.71950274
57,01580,Spectacled Eider,Eider à lunettes,Somateria fischeri,Anseriformes,Anatidae,Somateria,fischeri,1580,Somateria fischeri,8.325095728
58,01620,King Eider,Eider à tête grise,Somateria spectabilis,Anseriformes,Anatidae,Somateria,spectabilis,1620,Somateria spectabilis,11.365329
59,01590,Common Eider,Eider à duvet,Somateria mollissima,Anseriformes,Anatidae,Somateria,mollissima,1590,Somateria mollissima,11.21901402
60,01550,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Anseriformes,Anatidae,Histrionicus,histrionicus,1550,Histrionicus histrionicus,6.149206491
61,01660,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Anseriformes,Anatidae,Melanitta,perspicillata,1660,Melanitta perspicillata,5.513907439
62,01650,White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,Anseriformes,Anatidae,Melanitta,deglandi,1650,Melanitta deglandi,5.438067803
65,01630,Black Scoter,Macreuse à bec jaune,Melanitta americana,Anseriformes,Anatidae,Melanitta,americana,1630,Melanitta americana,5.343234274
66,01657,unid. scoter,unid macreuse sp.,Melanitta sp.,Anseriformes,Anatidae,Melanitta,sp.,1657,Melanitta sp.,NA
67,01540,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Anseriformes,Anatidae,Clangula,hyemalis,1540,Clangula hyemalis,6.005650979
68,01530,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,Bucephala,albeola,1530,Bucephala albeola,5.492261298
69,01510,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Anseriformes,Anatidae,Bucephala,clangula,1510,Bucephala clangula,7.109900304
70,01520,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Anseriformes,Anatidae,Bucephala,islandica,1520,Bucephala islandica,6.602453125
71,01512,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Bucephala clangula / islandica,Anseriformes,Anatidae,Bucephala,clangula / islandica,1512,Bucephala clangula / islandica,NA
73,01310,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Anseriformes,Anatidae,Lophodytes,cucullatus,1310,Lophodytes cucullatus,4.513622284
74,01290,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,Mergus,merganser,1290,Mergus merganser,5.050720794
75,01300,Red-breasted Merganser,Harle huppé,Mergus serrator,Anseriformes,Anatidae,Mergus,serrator,1300,Mergus serrator,5.730468376
77,01670,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Anseriformes,Anatidae,Oxyura,jamaicensis,1670,Oxyura jamaicensis,3.856815295
78,03110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,3110,Ortalis vetula,4.804508169
86,02920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,2920,Oreortyx pictus,2.578428464
91,02890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,2890,Colinus virginianus,2.258734621
93,02930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,2930,Callipepla squamata,2.152866308
95,02940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,2940,Callipepla californica,2.222432767
96,02950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,2950,Callipepla gambelii,2.126172625
97,02960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,2960,Cyrtonyx montezumae,2.186048879
101,03100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,3100,Meleagris gallopavo,4.689787737
103,03000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,3000,Bonasa umbellus,2.398076811
104,02980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,2980,Falcipennis canadensis,3.394960462
105,03010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,3010,Lagopus lagopus,2.332812222
106,03020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,3020,Lagopus muta,2.992514649
107,03040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,3040,Lagopus leucura,4.116172628
108,03090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,3090,Centrocercus urophasianus,3.822699139
109,03089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,3089,Centrocercus minimus,4.623188277
110,02970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,2970,Dendragapus obscurus,4.475357304
111,02971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,2971,Dendragapus fuliginosus,3.583927834
112,02973,Blue Grouse (Dusky/Sooty),Tétras sombre (sombre/fuligineux) ,Dendragapus obscurus / fuliginosus,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus,2973,Dendragapus obscurus / fuliginosus,4.029642569
113,03080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,3080,Tympanuchus phasianellus,2.537761556
114,03050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,3050,Tympanuchus cupido,2.633883697
115,03070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,3070,Tympanuchus pallidicinctus,2.835452238
116,02881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,2881,Perdix perdix,1.933238715
117,03091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,3091,Phasianus colchicus,4.77330905
118,03095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,3095,Pavo cristatus,8.830374084
121,02882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,2882,Alectoris chukar,2.271141313
123,00050,Least Grebe,Grèbe minime,Tachybaptus dominicus,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,50,Tachybaptus dominicus,3.26637837
124,00060,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Podicipediformes,Podicipedidae,Podilymbus,podiceps,60,Podilymbus podiceps,3.428296921
125,00030,Horned Grebe,Grèbe esclavon,Podiceps auritus,Podicipediformes,Podicipedidae,Podiceps,auritus,30,Podiceps auritus,4.411423392
126,00020,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Podicipediformes,Podicipedidae,Podiceps,grisegena,20,Podiceps grisegena,5.626612132
127,00040,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Podicipediformes,Podicipedidae,Podiceps,nigricollis,40,Podiceps nigricollis,5.027990321
128,00010,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,10,Aechmophorus occidentalis,5.331588962
129,00011,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,11,Aechmophorus clarkii,4.814294093
130,00012,Western Grebe (Clark's/Western),Grèbe élégant (à face blanche/élégant),Aechmophorus occidentalis / clarkii,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii,12,Aechmophorus occidentalis / clarkii,5.072941527499999
131,03131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,3131,Columba livia,3.993083763
135,03140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,3140,Patagioenas leucocephala,3.54887253
136,03130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,3130,Patagioenas flavirostris,4.680046722
137,03120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,3120,Patagioenas fasciata,4.394132128
140,03152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea,3152,Streptopelia roseogrisea,4.20927217
142,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,22860,Streptopelia decaocto,3.455689008
143,03151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,3151,Streptopelia chinensis,3.744876563
144,03210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca,3210,Columbina inca,2.799722853
145,03200,Common Ground Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,3200,Columbina passerina,2.931066034
147,03201,Ruddy Ground Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,3201,Columbina talpacoti,2.668992315
152,03180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,3180,Leptotila verreauxi,4.306651531
158,03190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica,3190,Zenaida asiatica,4.063751857
160,03160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,3160,Zenaida macroura,5.371662876
162,03830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,3830,Crotophaga ani,4.226881546
163,03840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,3840,Crotophaga sulcirostris,3.192426485
168,03850,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,3850,Geococcyx californianus,3.216720014
173,03870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus,3870,Coccyzus americanus,2.532871766
174,03860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor,3860,Coccyzus minor,3.030901654
175,03880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,3880,Coccyzus erythropthalmus,2.543153489
176,03875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,unid Coulicou à bec jaune / Coulicou à bec noir,Coccyzus americanus / erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,americanus / erythropthalmus,3875,Coccyzus americanus / erythropthalmus,NA
178,04210,Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,4210,Chordeiles acutipennis,3.361353004
179,04200,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,4200,Chordeiles minor,4.585997652
180,04201,Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,gundlachii,4201,Chordeiles gundlachii,3.541195629
181,04205,unid. Lesser Nighthawk / Common Nighthawk,unid Engoulevent minime / Engoulevent d'Amérique,Chordeiles acutipennis / minor,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis / minor,4205,Chordeiles acutipennis / minor,NA
182,04206,unid. Common Nighthawk / Antillean Nighthawk,unid Engoulevent d'Amérique / piramidig,Chordeiles minor / gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,minor / gundlachii,4206,Chordeiles minor / gundlachii,NA
183,04190,Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,4190,Nyctidromus albicollis,3.603698927
184,04180,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,4180,Phalaenoptilus nuttallii,2.767326657
187,04160,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,4160,Antrostomus carolinensis,4.055669608
191,04171,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,4171,Antrostomus vociferus,3.696018219
192,04172,Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae,4172,Antrostomus arizonae,2.236175921
197,04220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,4220,Cypseloides niger,3.738376237
202,04230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica,4230,Chaetura pelagica,3.009395796
203,04240,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,Chaetura,vauxi,4240,Chaetura vauxi,2.348481441
207,04250,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Apodiformes,Apodidae,Aeronautes,saxatalis,4250,Aeronautes saxatalis,2.447301252
220,04260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,4260,Eugenes fulgens,2.436407199
225,04270,Blue-throated Mountain-gem,Colibri à gorge bleue,Lampornis clemenciae,Apodiformes,Trochilidae,Lampornis,clemenciae,4270,Lampornis clemenciae,2.285390248
230,04370,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,Apodiformes,Trochilidae,Calothorax,lucifer,4370,Calothorax lucifer,1.739492024
232,04280,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,Archilochus,colubris,4280,Archilochus colubris,2.160837318
233,04290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri,4290,Archilochus alexandri,2.449862119
234,04295,unid. Ruby-throated / Black-chinned Hummingbird,unid Colibri à gorge rubis / Colibri à gorge noire,Archilochus colubris / alexandri,Apodiformes,Trochilidae,Archilochus,colubris / alexandri,4295,Archilochus colubris / alexandri,NA
236,04310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,Calypte,anna,4310,Calypte anna,2.079680549
237,04300,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,Calypte,costae,4300,Calypte costae,2.093650257
238,04360,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Apodiformes,Trochilidae,Selasphorus,calliope,4360,Selasphorus calliope,1.947960776
239,04330,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Apodiformes,Trochilidae,Selasphorus,rufus,4330,Selasphorus rufus,2.128899918
240,04340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,4340,Selasphorus sasin,1.968304783
241,04335,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Selasphorus rufus / sasin,Apodiformes,Trochilidae,Selasphorus,rufus / sasin,4335,Selasphorus rufus / sasin,NA
242,04402,unid. hummingbird,unid Colibri sp.,Trochilid sp.,Apodiformes,Trochilidae,Trochilid,sp.,4402,Trochilid sp.,NA
243,04320,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus,4320,Selasphorus platycercus,2.592795163
247,04410,Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,Apodiformes,Trochilidae,Cynanthus,latirostris,4410,Cynanthus latirostris,2.148992039
263,04391,Violet-crowned Hummingbird,Ariane à couronne violette,Leucolia violiceps,Apodiformes,Trochilidae,Leucolia,violiceps,4391,Leucolia violiceps,2.005123679
269,04390,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,Apodiformes,Trochilidae,Amazilia,yucatanensis,4390,Amazilia yucatanensis,2.400276472
278,02111,Ridgway's Rail,Râle de Californie,Rallus obsoletus,Gruiformes,Rallidae,Rallus,obsoletus,2111,Rallus obsoletus,2.107426457
279,02110,Clapper Rail,Râle tapageur,Rallus crepitans,Gruiformes,Rallidae,Rallus,crepitans,2110,Rallus crepitans,1.968098426
281,02080,King Rail,Râle élégant,Rallus elegans,Gruiformes,Rallidae,Rallus,elegans,2080,Rallus elegans,3.269379405
282,02090,unid. Clapper / King Rail,unid Râle élégant / Râle Gris,Rallus crepitans / elegans,Gruiformes,Rallidae,Rallus,crepitans / elegans,2090,Rallus crepitans / elegans,NA
283,02120,Virginia Rail,Râle de Virginie,Rallus limicola,Gruiformes,Rallidae,Rallus,limicola,2120,Rallus limicola,2.141265419
285,02140,Sora,Marouette de Caroline,Porzana carolina,Gruiformes,Rallidae,Porzana,carolina,2140,Porzana carolina,1.865370331
286,02190,Common Gallinule,Gallinule d'Amérique,Gallinula galeata,Gruiformes,Rallidae,Gallinula,galeata,2190,Gallinula galeata,2.561011413
289,02210,American Coot,Foulque d'Amérique,Fulica americana,Gruiformes,Rallidae,Fulica,americana,2210,Fulica americana,4.031447748
290,02180,Purple Gallinule,Talève violacée,Porphyrio martinicus,Gruiformes,Rallidae,Porphyrio,martinicus,2180,Porphyrio martinicus,2.12580627
291,21930,Purple Swamphen,Talève sultane,Porphyrio porphyrio,Gruiformes,Rallidae,Porphyrio,porphyrio,21930,Porphyrio porphyrio,4.738939682
292,02150,Yellow Rail,Râle jaune,Coturnicops noveboracensis,Gruiformes,Rallidae,Coturnicops,noveboracensis,2150,Coturnicops noveboracensis,2.126855185
296,02160,Black Rail,Râle noir,Laterallus jamaicensis,Gruiformes,Rallidae,Laterallus,jamaicensis,2160,Laterallus jamaicensis,1.776870411
298,02070,Limpkin,Courlan brun,Aramus guarauna,Gruiformes,Aramidae,Aramus,guarauna,2070,Aramus guarauna,3.850647088
299,02060,Sandhill Crane,Grue du Canada,Antigone canadensis,Gruiformes,Gruidae,Antigone,canadensis,2060,Antigone canadensis,11.45521958
301,02040,Whooping Crane,Grue blanche,Grus americana,Gruiformes,Gruidae,Grus,americana,2040,Grus americana,13.3237574
304,02260,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,2260,Himantopus mexicanus,5.599142123
305,02250,American Avocet,Avocette d'Amérique,Recurvirostra americana,Charadriiformes,Recurvirostridae,Recurvirostra,americana,2250,Recurvirostra americana,4.550597019
307,02860,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,Charadriiformes,Haematopodidae,Haematopus,palliatus,2860,Haematopus palliatus,10.57979184
308,02870,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Charadriiformes,Haematopodidae,Haematopus,bachmani,2870,Haematopus bachmani,13.44842345
311,02700,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Charadriiformes,Charadriidae,Pluvialis,squatarola,2700,Pluvialis squatarola,7.553302577
313,02720,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,Charadriiformes,Charadriidae,Pluvialis,dominica,2720,Pluvialis dominica,4.088413021
314,02721,Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,Charadriiformes,Charadriidae,Pluvialis,fulva,2721,Pluvialis fulva,4.149693666
316,02730,Killdeer,Pluvier kildir,Charadrius vociferus,Charadriiformes,Charadriidae,Charadrius,vociferus,2730,Charadrius vociferus,3.924036198
317,02750,Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,Charadriiformes,Charadriidae,Charadrius,hiaticula,2750,Charadrius hiaticula,3.91495782
318,02740,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,Charadriiformes,Charadriidae,Charadrius,semipalmatus,2740,Charadrius semipalmatus,3.532632541
319,02770,Piping Plover,Pluvier siffleur,Charadrius melodus,Charadriiformes,Charadriidae,Charadrius,melodus,2770,Charadrius melodus,3.460657405
323,02800,Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,Charadriiformes,Charadriidae,Charadrius,wilsonia,2800,Charadrius wilsonia,3.796131561
325,02810,Mountain Plover,Pluvier montagnard,Charadrius montanus,Charadriiformes,Charadriidae,Charadrius,montanus,2810,Charadrius montanus,4.01403855
326,02780,Snowy Plover,Pluvier neigeux,Charadrius nivosus,Charadriiformes,Charadriidae,Charadrius,nivosus,2780,Charadrius nivosus,3.148432375
328,02610,Upland Sandpiper,Maubèche des champs,Bartramia longicauda,Charadriiformes,Scolopacidae,Bartramia,longicauda,2610,Bartramia longicauda,3.646180638
329,02680,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,Charadriiformes,Scolopacidae,Numenius,tahitiensis,2680,Numenius tahitiensis,7.916148687
330,02650,Whimbrel,Courlis corlieu,Numenius phaeopus,Charadriiformes,Scolopacidae,Numenius,phaeopus,2650,Numenius phaeopus,6.456258669
332,02640,Long-billed Curlew,Courlis à long bec,Numenius americanus,Charadriiformes,Scolopacidae,Numenius,americanus,2640,Numenius americanus,6.748466121
336,02500,Bar-tailed Godwit,Barge rousse,Limosa lapponica,Charadriiformes,Scolopacidae,Limosa,lapponica,2500,Limosa lapponica,8.434449747
